level,lang,tweets,phd,interview
senior,java,no,no,FALSE
senior,java,no,yes,FALSE
mid,python,no,no,TRUE
junior,python,no,no,TRUE
junior,R,yes,no,TRUE
junior,R,yes,yes,FALSE
mid,R,yes,yes,TRUE
senior,python,no,no,FALSE
senior,R,yes,no,TRUE
junior,python,yes,no,TRUE
senior,python,yes,yes,TRUE
mid,python,no,yes,TRUE
mid,java,yes,no,TRUE
junior,python,no,yes,FALSE
senior,java,yes,yes,FALSE
senior,R,yes,yes,TRUE
mid,java,yes,no,TRUE
junior,java,yes,yes,FALSE
senior,java,no,yes,TRUE
mid,R,yes,no,TRUE
mid,python,yes,yes,FALSE
mid,python,no,no,TRUE
junior,R,yes,yes,TRUE
mid,java,no,no,TRUE
senior,java,no,no,FALSE
mid,python,yes,yes,TRUE
mid,java,yes,yes,FALSE
senior,R,yes,yes,TRUE
mid,java,no,no,FALSE
mid,python,no,yes,FALSE
