longitude,latitude,lang
-86.75,33.56666667, Python
-88.25,30.68333333, Python
-112.0166667,33.43333333, Java
-110.9333333,32.11666667, Java
-92.23333333,34.73333333, R
-121.95,37.7, R
-118.15,33.81666667, Python
-118.2333333,34.05, Java
-122.3166667,37.81666667, R
-117.6,34.05, Python
-116.5333333,33.81666667, Python
-121.5,38.51666667, R
-117.1666667,32.73333333, R
-122.3833333,37.61666667, R
-121.9333333,37.36666667, R
-122.0166667,36.98333333, Python
-104.7166667,38.81666667, Python
-104.8666667,39.75, Python
-72.65,41.73333333, R
-75.6,39.66666667, Python
-77.03333333,38.85, Python
-80.26666667,25.8, Java
-81.38333333,28.55, Java
-82.53333333,27.96666667, Java
-84.43333333,33.65, Python
-116.2166667,43.56666667, Python
-87.75,41.78333333, Java
-86.28333333,39.73333333, Java
-93.65,41.53333333, Java
-97.41666667,37.65, Java
-85.73333333,38.18333333, Python
-90.25,29.98333333, Java
-70.31666667,43.65, R
-76.66666667,39.18333333, R
-71.03333333,42.36666667, R
-72.53333333,42.2, R
-83.01666667,42.41666667, Python
-84.6,42.78333333, Python
-93.21666667,44.88333333, Python
-90.08333333,32.31666667, Java
-94.58333333,39.11666667, Java
-90.38333333,38.75, Python
-108.5333333,45.8, Python
-95.9,41.3, Python
-115.1666667,36.08333333, Java
-71.43333333,42.93333333, R
-74.16666667,40.7, R
-106.6166667,35.05, Python
-78.73333333,42.93333333, R
-73.96666667,40.78333333, R
-80.93333333,35.21666667, Python
-78.78333333,35.86666667, Python
-100.75,46.76666667, Java
-84.51666667,39.15, Java
-81.85,41.4, Java
-82.88333333,40, Java
-97.6,35.4, Python
-122.6666667,45.53333333, Python
-75.25,39.88333333, Python
-80.21666667,40.5, Python
-71.43333333,41.73333333, R
-81.11666667,33.95, R
-96.73333333,43.56666667, Python
-90,35.05, R
-86.68333333,36.11666667, R
-97.7,30.3, Python
-96.85,32.85, Java
-95.35,29.96666667, Java
-98.46666667,29.53333333, Java
-111.9666667,40.76666667, Python
-73.15,44.46666667, R
-77.33333333,37.5, Python
-122.3,47.53333333, Python
-89.33333333,43.13333333, R
-104.8166667,41.15, Java
